createdAt,author,uri,text,query
,beachbums79.bsky.social,at://did:plc:nmeulalxfx424max5obbc4eg/app.bsky.feed.post/3lyrnu4i4oc2m,"Actually that would probably be protected free speech. Just like when I say charlie kirk was a nazi fuck and got what he deserved, is also Free Speech. Now some POS saying that live on camera should result in getting fired. But It won't . Because dumfux spews is the one we are discussing.",Charlie Kirk
,jessetfield.bsky.social,at://did:plc:rmyui4xmr3xldpy2iyy2zmbq/app.bsky.feed.post/3lyrekjzz6k2d,"So Fuck Charlie Kirk, that Nazi got what he deserved and frankly many more should get it too.

Go clutch your pearls and fuck yourself.

Fuck MAGA

Fuck Trump

Fuck the GOP

Curb stomp all Nazis",Charlie Kirk
,chrisgroombridge.bsky.social,at://did:plc:xkybxo6ham4reberogmcbfy4/app.bsky.feed.post/3lyro2mwaz22p,Sorry not Sorry. He got what he deserved. Hate breeds Hate. Horrible excuse for human. Everything he came out with was straight out of the nazi playbook. Good riddance 🥳,he deserved
,dems2024.bsky.social,at://did:plc:jdmj2q6krgku4zkkketdcvqt/app.bsky.feed.post/3lyrext35j222,"Nah, he didn't deserve a violent death but OTHERS DID ACCORDING TO HIM, RIGHT? THE KIDS THAT DIED IN CHURCH SHOOTING, IN INTENSIVE CARE FROM DENVER SHOOTING ""THOSE DID NOT DESERVED TO DIE OR BE IN A ICU"" 30 SEC. BEFORE MURDERED PROMOTED TRANS & LGBTQ TO BE KILLED, SO KIRK MAY HE ENJOY THE 🔥 OF HELL!",he deserved
,ortizei.bsky.social,at://did:plc:i445fokq2j2c2dr24dd73tlv/app.bsky.feed.post/3lyqwoujp6k2u,"We know what has been done. An arrogant racist, traitor, moron, homophobe, mysoginist, wealthy American NAZI has been eliminated. Yes, he got rich by preaching hate and bigotry, anything that fit the mold for trump. He got what he deserved. Karma is a bitch.",he deserved
,theysawmetweetin.bsky.social,at://did:plc:vfzo2k55oo7gmmfq3bxtixv6/app.bsky.feed.post/3lyqv6iyne22y,"But when a homegrown movement of white supremacists want to turn our democracy into a murderous theocratic dictatorship and spend a decade nakedly organizing and demagoguing towards that goal, and one of their soldiers gets randomly murked, we can’t say the simple truth that he got what he deserved.",he deserved
,ahjra.bsky.social,at://did:plc:ohcczvwwtmjujdelj6i3rdrg/app.bsky.feed.post/3lyqckuh3fk2b,"When a public servant has to find way to protect themselves from their constituents, it doesn’t speak to the danger those constituents pose, but rather the failure of the public servant.

And he deserved to die, as all Nazis do.",he deserved
,cdeeznuts.bsky.social,at://did:plc:3mlcrk2rll3tto45pclubwdl/app.bsky.feed.post/3lyook6pnds2t,"so you're saying he deserved to die because he was tRaNsPeRbOlE

so i ask, for consistency: would you make that same argument with palestinians? they ACTUALLY kill gay people over there",he deserved
,thejacobin93.bsky.social,at://did:plc:ujphbfjrwvcxazbkex447nhy/app.bsky.feed.post/3lyonlnpqz225,"got what he deserved,  nazi prick",he deserved
,omarbradley.bsky.social,at://did:plc:dfkyg6e2n62ekr4ln4gfg7tj/app.bsky.feed.post/3lyoiurjloc2r,"Folks can debate whether Charlie deserved to die, but he definitely deserved the embarrassment of being killed by a nazi dweeb with a crusty ""sphincter sez what"" tagline.",he deserved
